,classifier_name,stream_name,number_of_samples,acc_mean,acc_std,kappa_mean,kappa_std,exec_time,model_size
0,HAT,SEA_A,100000,0.9369539078156311,0.053615194281801025,0.8739254188376754,0.10719855422904041,70.409752,602.5517580000001
0,HAT,SEA_G,100000,0.9270240480961923,0.047757438884254017,0.8540339058116232,0.09553906602182057,74.590939,514.321289
0,HAT,LED_A,100000,0.741372745490982,0.08789778940019047,0.7116483486973948,0.09782180518355502,399.68102200000004,138.16308600000002
0,HAT,LED_G,100000,0.7035671342685371,0.09593387106355339,0.6695898356713428,0.1066792709462729,447.19085599999994,278.895508
0,HAT,RBF_M,100000,0.6657014028056112,0.09550629257739948,0.5330403346693386,0.1313610058098711,124.09527800000001,131.637695
0,HAT,RBF_F,100000,0.42625250501002004,0.11775660322863157,0.17405529058116231,0.17619220402794836,90.14841,70.08300799999999
0,HAT,Sine_A,100000,0.9518637274549098,0.05990083210028455,0.9037274549098198,0.11980166420056912,62.124906,586.8017580000001
0,HAT,Sine_G,100000,0.9217935871743487,0.09418588770002434,0.8435915511022044,0.18835571508458387,70.34631,591.836914
0,HAT,HYPER,100000,0.8212424849699399,0.03095603124397618,0.6413415110220441,0.06263586773316669,115.32978600000001,1995.24707
0,HAT,ELEC,100000,0.7519469026548673,0.12411177097256437,0.4674683274336283,0.24774895449211695,27.507534000000003,98.84082
0,HAT,POKR,100000,0.5129705941188238,0.035852118631249166,0.03936519343868774,0.04477761229582672,2814.957066,3513.540039
,classifier_name,stream_name,number_of_samples,acc_mean,acc_std,kappa_mean,kappa_std,exec_time,model_size
0,OBA,SEA_A,100000,0.9239178356713428,0.05002135077736539,0.8478296833667334,0.10005522185205364,779.451583,3405.9648439999996
0,OBA,SEA_G,100000,0.9175050100200401,0.04644838403765321,0.835000641282565,0.09289931155939746,739.08568,3407.890625
0,OBA,LED_A,100000,0.617565130260521,0.05099543445450263,0.5739060400801603,0.05660568490164894,1845.495685,11560.050781
0,OBA,LED_G,100000,0.5927755511022044,0.06129907729486062,0.5463604649298597,0.06808192800741389,1676.5709880000002,11557.699219
0,OBA,RBF_M,100000,0.936062124248497,0.02025325991961133,0.9108940240480962,0.02819634562813034,1080.973706,6111.808594
0,OBA,RBF_F,100000,0.88624248496994,0.02959918143666674,0.841404639278557,0.04134963750692439,833.177898,6101.394531
0,OBA,Sine_A,100000,0.9788476953907815,0.0436065121915342,0.9576953907815631,0.08721302438306837,652.585736,3030.5234379999997
0,OBA,Sine_G,100000,0.9554108216432866,0.07341908667166634,0.910825733466934,0.1468185820317535,631.520388,3049.964844
0,OBA,HYPER,100000,0.7894288577154309,0.030770409244401203,0.5776454228456915,0.06161168433312214,866.039072,6116.902344
,classifier_name,stream_name,number_of_samples,acc_mean,acc_std,kappa_mean,kappa_std,exec_time,model_size
0,SAMKNN,SEA_A,100000,0.9343987975951904,0.048728721048958874,0.8688021422845692,0.09744744445196205,213.400223,988505.327148
